
{x=181,m=1429,a=1016,s=669}
{x=1855,m=231,a=499,s=2753}
{x=477,m=763,a=512,s=31}
{x=514,m=1858,a=446,s=4}
{x=736,m=201,a=975,s=1222}
{x=271,m=1572,a=1467,s=346}
{x=875,m=2792,a=1779,s=722}
{x=3339,m=220,a=373,s=697}
{x=86,m=1477,a=299,s=2045}
{x=627,m=907,a=339,s=1280}
{x=3329,m=950,a=1470,s=1233}
{x=1661,m=1188,a=2792,s=305}
{x=137,m=3051,a=473,s=198}
{x=1432,m=1764,a=1607,s=127}
{x=20,m=614,a=1013,s=2180}
{x=2496,m=45,a=208,s=151}
{x=236,m=513,a=653,s=62}
{x=72,m=2070,a=613,s=1477}
{x=1535,m=364,a=1222,s=2810}
{x=2961,m=490,a=1635,s=940}
{x=985,m=535,a=340,s=262}
{x=78,m=1496,a=608,s=1452}
{x=2461,m=17,a=249,s=2865}
{x=582,m=3890,a=219,s=1499}
{x=525,m=3136,a=1780,s=1024}
{x=1751,m=788,a=926,s=454}
{x=2737,m=801,a=676,s=488}
{x=179,m=558,a=1431,s=123}
{x=473,m=2517,a=1970,s=3027}
{x=246,m=1835,a=293,s=1773}
{x=2173,m=795,a=91,s=118}
{x=2612,m=2395,a=1001,s=1701}
{x=2082,m=91,a=67,s=1623}
{x=1800,m=2475,a=3243,s=1009}
{x=56,m=801,a=2915,s=571}
{x=477,m=849,a=722,s=1380}
{x=591,m=828,a=2279,s=2583}
{x=1972,m=488,a=711,s=387}
{x=721,m=3128,a=729,s=60}
{x=1650,m=1889,a=409,s=569}
{x=530,m=1951,a=1022,s=977}
{x=1192,m=778,a=621,s=3}
{x=2661,m=222,a=1369,s=2346}
{x=334,m=194,a=772,s=284}
{x=777,m=246,a=298,s=1799}
{x=25,m=1937,a=2264,s=918}
{x=3300,m=297,a=746,s=756}
{x=989,m=2908,a=106,s=2005}
{x=722,m=3150,a=272,s=639}
{x=662,m=543,a=433,s=568}
{x=379,m=601,a=199,s=200}
{x=3886,m=235,a=286,s=753}
{x=456,m=2145,a=91,s=768}
{x=419,m=247,a=228,s=1429}
{x=1407,m=1738,a=677,s=61}
{x=178,m=1966,a=1212,s=386}
{x=530,m=170,a=426,s=47}
{x=1012,m=269,a=1708,s=211}
{x=2735,m=956,a=298,s=19}
{x=244,m=2114,a=2724,s=239}
{x=1791,m=534,a=2048,s=997}
{x=702,m=1660,a=761,s=1659}
{x=1400,m=684,a=568,s=67}
{x=1163,m=835,a=493,s=2985}
{x=1021,m=961,a=45,s=732}
{x=2330,m=1928,a=990,s=103}
{x=618,m=436,a=2045,s=875}
{x=787,m=47,a=1459,s=1812}
{x=826,m=901,a=29,s=1946}
{x=1275,m=2751,a=1304,s=1955}
{x=318,m=107,a=1661,s=2740}
{x=1608,m=781,a=864,s=30}
{x=1130,m=1123,a=1147,s=115}
{x=3323,m=811,a=408,s=140}
{x=3533,m=362,a=28,s=2026}
{x=245,m=572,a=274,s=2189}
{x=558,m=998,a=3107,s=2802}
{x=729,m=217,a=1508,s=61}
{x=929,m=1891,a=168,s=1442}
{x=843,m=582,a=570,s=148}
{x=1307,m=268,a=890,s=343}
{x=2166,m=148,a=34,s=129}
{x=352,m=920,a=2517,s=1377}
{x=451,m=1749,a=2402,s=311}
{x=1450,m=1265,a=2377,s=176}
{x=229,m=111,a=877,s=277}
{x=599,m=325,a=863,s=1187}
{x=1156,m=202,a=1211,s=1742}
{x=323,m=225,a=1806,s=984}
{x=3,m=550,a=1462,s=1357}
{x=1104,m=2525,a=1349,s=832}
{x=1120,m=344,a=1722,s=42}
{x=1311,m=498,a=2180,s=1383}
{x=495,m=196,a=295,s=1533}
{x=124,m=706,a=20,s=1779}
{x=2008,m=988,a=1400,s=229}
{x=1076,m=30,a=118,s=219}
{x=32,m=36,a=684,s=365}
{x=2761,m=1579,a=1095,s=2}
{x=376,m=2325,a=765,s=42}
{x=1759,m=8,a=54,s=2275}
{x=1550,m=2813,a=222,s=1004}
{x=526,m=1300,a=1735,s=1030}
{x=643,m=260,a=99,s=69}
{x=363,m=477,a=3110,s=1145}
{x=3215,m=158,a=1768,s=789}
{x=1288,m=625,a=786,s=103}
{x=407,m=384,a=394,s=1204}
{x=1611,m=101,a=73,s=1241}
{x=27,m=512,a=492,s=45}
{x=2186,m=510,a=174,s=797}
{x=664,m=131,a=2981,s=1545}
{x=203,m=783,a=472,s=974}
{x=1358,m=128,a=708,s=698}
{x=1934,m=1329,a=3590,s=1450}
{x=376,m=1681,a=1135,s=1147}
{x=2609,m=6,a=258,s=367}
{x=331,m=1410,a=3015,s=460}
{x=144,m=144,a=166,s=196}
{x=598,m=2965,a=997,s=24}
{x=6,m=1058,a=176,s=130}
{x=3239,m=414,a=530,s=242}
{x=334,m=352,a=1643,s=781}
{x=226,m=401,a=662,s=590}
{x=264,m=1398,a=294,s=227}
{x=806,m=889,a=1774,s=1833}
{x=1503,m=856,a=2800,s=317}
{x=106,m=3177,a=85,s=2853}
{x=3606,m=1243,a=574,s=300}
{x=2268,m=18,a=112,s=178}
{x=28,m=340,a=853,s=541}
{x=990,m=388,a=370,s=738}
{x=598,m=779,a=2183,s=2063}
{x=318,m=656,a=3512,s=1110}
{x=386,m=78,a=2626,s=1734}
{x=1796,m=472,a=589,s=201}
{x=64,m=1121,a=195,s=1113}
{x=395,m=751,a=1600,s=57}
{x=364,m=467,a=466,s=2893}
{x=21,m=26,a=667,s=1636}
{x=12,m=341,a=2977,s=170}
{x=514,m=3431,a=246,s=828}
{x=82,m=1269,a=157,s=75}
{x=2178,m=1295,a=3189,s=418}
{x=1835,m=2538,a=222,s=2213}
{x=596,m=1197,a=1453,s=57}
{x=11,m=2703,a=1429,s=1535}
{x=1219,m=29,a=272,s=825}
{x=1789,m=598,a=2316,s=736}
{x=1495,m=44,a=204,s=2042}
{x=1594,m=477,a=2334,s=1665}
{x=1998,m=236,a=188,s=107}
{x=493,m=1677,a=669,s=3215}
{x=1560,m=258,a=1737,s=477}
{x=77,m=39,a=1604,s=3270}
{x=468,m=1742,a=866,s=203}
{x=593,m=1650,a=715,s=1074}
{x=2581,m=475,a=1337,s=200}
{x=1566,m=475,a=137,s=1855}
{x=78,m=1832,a=257,s=1434}
{x=1935,m=1719,a=2092,s=263}
{x=275,m=95,a=1280,s=924}
{x=902,m=57,a=668,s=1006}
{x=737,m=175,a=1837,s=1256}
{x=840,m=424,a=1710,s=1377}
{x=169,m=1677,a=1335,s=768}
{x=469,m=1245,a=75,s=949}
{x=806,m=96,a=6,s=911}
{x=204,m=396,a=1496,s=264}
{x=366,m=874,a=762,s=743}
